First_Column,ANAK JALANAN,TUNA SUSILA,PENGEMIS,GELANDANGAN DAN GELANDANGAN PSIKOTIK,ANAK BALITA TERLANTAR,ANAK TERLANTAR,ANAK BERHADAPAN DENGAN HUKUM,ANAK DENGAN KEDISABILITASAN,ANAK YANG MENJADI KORBAN TEINDAK KEKERASAN ATAU YANG DIPERLAKUKAN SALAH,ANAK YANG MEMERLUKAN PERLINDUNGAN KHUSUS,LANJUT USIA TERLANTAR,PENYANDANG DISABILITAS & BEKAS PENDERITA PENYAKIT KRONIS,PEMULUNG,KELOMPOK MINORITAS,BEKAS WARGA BINAAN LEMBAGA PEMASYARAKATAN,ORANG DENGAN HIV,ORANG DENGAN AIDS,KORBAN PENYALAGUNAAN NAPZA,KORBAN TRAFFICKING,KORBAN TINDAK KEKERASAN ATAU YANG DIPERLAKUKAN SALAH,PEKERJA MIGRAN BERMASALAH SOSIAL,KORBAN BENCAN ALAM,KORBAN BENCANA SOSIAL / PENGUNGSI,PEREMPUAN RAWAN SOSIAL EKONOMI,KELUARGA BERMASALAH SOSIAL PSIKOLOGIS,MASYARAKAT DAERAH TERTINGGAL DAN TERPENCIL
Tuban,31.0,62.0,194.0,196.0,280.0,685.0,65.0,867.0,35.0,53.0,7374.0,4421.0,645.0,7.0,398.0,78.0,581.0,81.0,3.0,25.0,25.0,173.0,2.0,5026.0,75.0,141.5
Lamongan,26.0,11.0,10.0,3.0,0.0,3108.0,4.0,232.0,12.0,0.0,3188.0,899.0,24.0,147.0,69.5,164.0,710.0,0.0,2.0,24.5,30.0,35340.0,29.0,24.0,104.0,8.5
Gresik,112.0,122.0,232.0,53.0,4830.0,46360.0,42.0,498.0,13.0,18.0,5283.0,3017.0,160.0,241.0,77.0,164.0,898.0,53.0,5.5,148.0,215.0,4350.0,68.0,4734.0,56.0,642.0
Bangkalan,12.0,5.0,30.0,12.0,55.0,111.0,1.0,326.0,0.0,0.0,472.0,1431.0,37.0,147.0,35.0,55.0,74.0,58.5,2.0,15.0,47.0,781.0,44.0,2141.0,24.0,141.5
Sampang,36.0,1.0,14.0,11.0,64.0,6920.0,2.0,616.0,1.0,9.0,3005.0,2806.0,38.0,147.0,318.0,2.0,112.0,3.0,2.0,38.5,350.0,249.0,93.0,5895.0,193.5,141.5
Pameksan,44.0,88.5,174.0,7.0,701.0,6988.0,0.0,1455.0,28.0,0.0,2992.0,6208.0,15.0,40.0,187.0,6.0,16.0,3.0,67.5,77.5,584.0,559.0,7.0,3.0,1570.0,1.0
Sumenep,19.0,88.5,114.0,20.0,6.0,498.0,0.0,272.0,0.0,0.0,3267.0,1760.0,425.0,147.0,66.0,25.0,87.0,6.0,2.0,148.0,267.0,138.0,20.5,3153.0,14.0,141.5
Kota Kediri,18.0,9.0,8.0,16.0,7.0,59.0,4.0,153.0,11.0,8.0,423.0,200.0,12.0,147.0,41.0,214.0,111.0,558.0,2.0,18.0,0.0,10.0,33.5,334.0,28.0,141.5
Kota Blitar,15.0,71.0,4.0,4.0,25.0,237.0,4.0,90.0,2.0,0.0,342.0,354.0,11.0,147.0,119.0,57.0,33.0,6.0,2.0,38.5,1.0,4.0,1.0,820.0,205.0,141.5
Kota Malang,104.0,4.0,71.0,10.0,5.0,176.5,25.0,132.0,1.0,5.0,1179.0,1397.0,120.0,39.0,44.0,311.0,684.0,878.0,1.0,4.0,0.0,2.0,196.0,919.0,214.0,642.0
Kota Probolinggo,54.0,119.0,95.0,10.0,2.0,384.0,10.0,202.0,24.0,0.0,231.0,1007.0,68.0,92.0,14.0,47.0,45.0,56.5,2.5,29.0,0.0,350.0,33.5,5616.0,141.0,141.5
Kota Pasuruan,18.0,60.0,74.0,1.0,5.0,28.0,4.0,28.0,0.0,14.0,219.0,206.0,38.0,147.0,100.0,31.0,153.0,1.0,2.0,1.0,0.0,70.0,13.5,2555.0,14.0,141.5
Kota Mojokerto,6.0,4.5,58.0,3.0,8.0,120.0,0.0,50.0,0.0,3.0,1344.0,375.0,33.0,147.0,67.5,135.0,41.0,3.5,2.0,2.0,0.0,395.5,24.0,965.0,4.0,141.5
Kota Madiun,3.0,4.0,33.0,6.0,89.0,282.0,2.0,157.0,1.0,8.0,771.0,508.0,64.0,147.0,51.0,125.0,106.0,15.0,2.0,32.5,0.0,5.0,28.0,829.0,29.0,141.5
Kota Surabaya,50.0,5.0,62.0,17.0,19.0,1059.0,8.0,810.0,0.0,56.0,6912.0,6514.0,175.0,147.0,44.0,953.0,2170.0,31.0,2.0,47.0,0.0,26.0,1.0,2168.0,78.0,141.5
Kota Batu,3.0,4.0,5.0,1.0,7.0,47.0,3.0,232.0,2.0,1.0,339.0,552.0,57.0,147.0,20.0,45.0,147.0,6.0,2.0,2.0,1.0,78.0,4.0,192.0,3.0,141.5
